"","ï..UDI","Product.ID","Type","Air.temperature","Process.temperature","Rotational.speed","Torque","Tool.wear","Machine.failure"
"1495",1495,"M16354","M",298,308.7,1377,48.5,181,0
"4324",4324,"L51503","L",301.8,310.3,1341,50.5,64,1
"6157",6157,"L53336","L",301.1,311.1,1508,41.5,184,0
"4628",4628,"M19487","M",303,311.2,1592,38.9,188,0
"5046",5046,"M19905","M",304.1,313.2,1510,46.9,152,0
"1996",1996,"L49175","L",298.3,308,1451,47.1,196,0
"6264",6264,"M21123","M",301,310.6,1698,27.3,14,0
"7520",7520,"L54699","L",300.2,311.6,1999,21,19,0
"2374",2374,"L49553","L",299.2,308.4,1350,51.3,96,0
"2146",2146,"L49325","L",299.3,308.8,1550,45.8,170,0
"2368",2368,"M17227","M",299.3,308.5,1496,39.4,80,0
"5309",5309,"L52488","L",304,313.2,1481,42.6,213,0
"3519",3519,"L50698","L",301.9,311,1376,44.9,186,0
"1142",1142,"L48321","L",297,307.9,1635,31.6,147,0
"3806",3806,"M18665","M",302.4,311,1580,36.5,64,0
"1995",1995,"M16854","M",298.2,307.9,1403,45.1,193,0
"3780",3780,"L50959","L",302.3,311,1657,31.1,3,0
"8838",8838,"M23697","M",297.5,309.1,1540,38.5,176,0
"3199",3199,"M18058","M",300,309.1,1463,45.7,11,0
"8899",8899,"L56078","L",297.4,308.6,1532,38.7,136,0
"6009",6009,"L53188","L",300.7,310.7,1431,39.3,22,0
"5559",5559,"L52738","L",302.5,311.9,1553,40.1,187,0
"9961",9961,"L57140","L",298.2,307.8,1575,35,137,0
"6076",6076,"L53255","L",301,310.9,1813,28.5,197,0
"5854",5854,"L53033","L",301.2,311,1567,35.1,64,0
"7595",7595,"L54774","L",300.6,311.3,1531,38.5,0,0
"3336",3336,"L50515","L",301.7,310.9,1705,31.2,146,0
"3709",3709,"L50888","L",302.1,311.4,1549,44.6,31,0
"5470",5470,"M20329","M",302.7,312.2,1439,42.5,164,0
"7795",7795,"M22654","M",300.2,311.6,1415,55.8,82,0
"3290",3290,"M18149","M",301.2,310.1,1295,56.6,39,0
"6806",6806,"M21665","M",301,310.7,1497,37.6,116,0
"8124",8124,"H37537","H",300.2,311.5,1515,36.8,27,0
"6977",6977,"L54156","L",300.6,310.9,1344,46.7,133,0
"9815",9815,"H39228","H",298.3,309.1,1430,40.9,162,0
"1002",1002,"L48181","L",296.3,307.1,1662,32.9,190,0
"4228",4228,"L51407","L",302.2,310.8,1383,46.9,45,0
"9161",9161,"H38574","H",297.5,308.5,1671,28,158,0
"7606",7606,"H37019","H",300.4,311.3,2026,20.3,26,0
"8898",8898,"M23757","M",297.3,308.7,1577,35.6,133,0
"1444",1444,"L48623","L",298.9,310.1,1602,38.2,58,0
"6146",6146,"M21005","M",301.1,311.1,1436,41.8,156,0
"3258",3258,"L50437","L",301.2,309.9,1984,19.7,169,0
"1697",1697,"L48876","L",297.9,307.6,1550,39,35,0
"4349",4349,"L51528","L",301.9,309.8,1507,44.7,131,0
"6165",6165,"H35578","H",300.9,310.7,1656,30.7,200,0
"40",40,"L47219","L",298.8,309.1,1350,52.5,111,0
"8595",8595,"L55774","L",297.4,308,1356,51.9,184,0
"722",722,"L47901","L",297.5,308.9,1696,30.9,133,0
"2763",2763,"L49942","L",299.8,309.2,1479,44.4,214,0
"8962",8962,"M23821","M",297.3,308,1403,45,77,0
"9062",9062,"M23921","M",297.2,308.4,1863,26,110,0
"8223",8223,"L55402","L",299,310.5,1755,27.9,56,0
"9718",9718,"L56897","L",298.9,309.9,1500,44.2,115,0
"3036",3036,"M17895","M",300.6,309.7,1428,42.6,23,0
"7419",7419,"M22278","M",300.2,311.4,1427,39.7,196,0
"542",542,"L47721","L",297.4,309.4,1296,52.3,96,0
"716",716,"L47895","L",297.4,308.6,1324,59.1,118,0
"7423",7423,"L54602","L",300,311.2,1351,44.1,206,0
"2380",2380,"H31793","H",299.1,308.2,1450,46.1,112,0
"2533",2533,"L49712","L",298.9,308.7,1389,44.9,69,0
"7371",7371,"M22230","M",299.6,310.1,1455,46.1,76,0
"4356",4356,"H33769","H",302,309.8,1280,57.3,147,1
"3461",3461,"L50640","L",301.5,310.3,1415,41.6,28,0
"8970",8970,"L56149","L",297,307.8,1396,50,96,0
"728",728,"H30141","H",297.3,308.6,1499,37.6,147,0
"849",849,"L48028","L",296.3,307.4,1465,47.1,215,0
"130",130,"L47309","L",298.9,308.5,1559,34.3,126,0
"407",407,"L47586","L",297.4,308.6,1439,51.9,188,0
"2376",2376,"M17235","M",299.2,308.4,1476,32.7,101,0
"6821",6821,"L54000","L",300.8,310.6,1551,34.5,153,0
"8373",8373,"M23232","M",298.8,309.7,1448,44.8,31,0
"7793",7793,"H37206","H",300.1,311.4,1485,40.4,75,0
"9745",9745,"L56924","L",298.8,310.1,1574,36.2,181,0
"2839",2839,"L50018","L",300.3,309.3,1478,39.5,180,0
"7171",7171,"M22030","M",300.3,310.2,1442,39.5,4,0
"6171",6171,"H35584","H",300.8,310.5,1559,40.1,220,0
"9080",9080,"H38493","H",297.3,308.1,1554,42.4,158,0
"6090",6090,"L53269","L",300.9,310.7,1509,37.5,12,0
"3922",3922,"L51101","L",302.7,311.5,1494,41.4,149,0
"4399",4399,"M19258","M",302.3,310.1,1563,37.8,31,0
"7922",7922,"L55101","L",300.7,311.9,1419,47.7,179,0
"5096",5096,"M19955","M",304.1,313.5,1428,39.9,88,0
"6205",6205,"M21064","M",300.9,310.8,1519,34.9,73,0
"5410",5410,"L52589","L",302.7,312.4,1433,44.2,17,0
"66",66,"L47245","L",299,309.1,1394,45.1,179,0
"3792",3792,"L50971","L",302.3,311,1528,43.1,30,0
"3753",3753,"H33166","H",302.3,311.1,1455,40.3,145,0
"8316",8316,"H37729","H",298.7,309.8,1422,40.7,85,0
"7396",7396,"M22255","M",299.7,310.6,1572,38,139,0
"3514",3514,"M18373","M",301.9,311.1,1417,52.5,171,0
"3263",3263,"L50442","L",301.3,310.1,1558,36.3,184,0
"9925",9925,"M24784","M",298.5,308.6,1384,54.4,44,0
"7526",7526,"H36939","H",300.1,311.5,1383,49.1,33,0
"8167",8167,"L55346","L",299.7,311.1,1603,31.4,141,0
"3417",3417,"L50596","L",301.5,310.5,1435,44.6,135,0
"5788",5788,"L52967","L",301.7,311.3,1584,38.8,132,0
"4205",4205,"M19064","M",302.3,310.9,1523,43.2,210,0
"8127",8127,"L55306","L",300.2,311.4,1433,37.9,36,0
"3909",3909,"L51088","L",302.3,311.2,1633,36.4,114,0
"5648",5648,"H35061","H",302.5,311.8,2370,14.7,198,0
"483",483,"L47662","L",297.3,309,1548,37.4,171,0
"3956",3956,"L51135","L",302.3,311.5,1448,49.6,28,0
"4856",4856,"L52035","L",303.7,312.3,1375,46.2,98,0
"3638",3638,"M18497","M",302.2,311.4,1626,31.6,62,0
"4702",4702,"H34115","H",303.5,311.7,1584,32.7,143,0
"3691",3691,"L50870","L",302.1,311.3,1477,43.6,196,0
"8542",8542,"L55721","L",298.5,309.5,1738,25.2,49,0
"4647",4647,"L51826","L",303.3,311.4,1497,46,234,1
"6149",6149,"L53328","L",301.1,311.2,1564,37,165,0
"4733",4733,"L51912","L",303.3,311.7,1539,38.5,221,0
"3298",3298,"L50477","L",301.2,310.3,1548,38.6,59,0
"7140",7140,"L54319","L",300.6,310.1,1495,42.3,132,0
"6290",6290,"L53469","L",301,310.5,1248,61.4,77,0
"9665",9665,"L56844","L",299.1,310.2,1317,54.8,231,1
"2928",2928,"M17787","M",300.7,309.6,1421,49.8,165,0
"7417",7417,"M22276","M",300.1,311.2,1452,42.4,190,0
"7884",7884,"H37297","H",300.7,312.3,1446,45.4,86,0
"3744",3744,"L50923","L",302.5,311.4,1759,24.6,124,0
"27",27,"L47206","L",299.1,309.5,1512,39,75,0
"7445",7445,"L54624","L",300.2,311.7,1286,55.1,42,0
"9574",9574,"L56753","L",299.7,310.9,1491,40.1,195,0
"1020",1020,"L48199","L",296.3,307.3,1398,52.7,31,0
"2549",2549,"M17408","M",299.3,309.2,1440,37.5,111,0
"895",895,"L48074","L",295.6,306.2,1426,48.6,124,0
"123",123,"L47302","L",299,308.8,1310,50.7,112,0
"1388",1388,"L48567","L",298.9,310.1,1823,26.1,131,0
"4712",4712,"M19571","M",303.4,311.7,1515,44.2,168,0
"2516",2516,"L49695","L",298.8,308.5,1490,35,29,0
"9030",9030,"L56209","L",297.4,308.3,1483,38.8,23,0
"4008",4008,"L51187","L",302.1,311.2,1369,50.8,164,0
"563",563,"L47742","L",297.6,309.5,1574,30.9,151,0
"476",476,"L47655","L",297.4,309.1,1380,41.1,152,0
"410",410,"L47589","L",297.4,308.6,1459,41.3,196,0
"3843",3843,"L51022","L",302.5,311.2,1545,40.1,165,0
"2105",2105,"M16964","M",299.3,309.1,1600,35.3,52,0
"466",466,"M15325","M",297.3,308.6,1456,42.9,122,0
"80",80,"L47259","L",298.8,308.9,1402,37.9,2,0
"8083",8083,"H37496","H",300.1,311.5,1422,46.2,134,0
"9787",9787,"M24646","M",298.7,309.6,1738,27.3,79,0
"469",469,"L47648","L",297.3,308.7,1619,31.6,129,0
"7690",7690,"L54869","L",300.6,311.7,1432,39.2,2,0
"7490",7490,"M22349","M",300.2,311.6,1751,28,162,0
"3376",3376,"M18235","M",301.4,310.6,1459,46.9,27,0
"7353",7353,"M22212","M",299.7,310.2,1440,42.8,30,0
"6733",6733,"L53912","L",301.7,311,1503,44.8,134,0
"2456",2456,"L49635","L",299,308.6,1946,22.3,102,0
"9756",9756,"H39169","H",298.5,309.7,1561,35.3,208,0
"6062",6062,"H35475","H",301.1,311.1,1618,29.5,160,0
"3059",3059,"L50238","L",300,309,1709,32.1,79,0
"6172",6172,"L53351","L",300.8,310.6,1416,42.2,225,0
"6130",6130,"M20989","M",301,311,1508,46.9,113,0
"1293",1293,"M16152","M",298.7,309.7,1868,23.8,118,0
"7317",7317,"L54496","L",299.9,310.4,1497,47,150,0
"7418",7418,"M22277","M",300.1,311.3,1495,41,193,0
"9464",9464,"M24323","M",298.5,309.3,1552,36.8,133,0
"9854",9854,"L57033","L",298.6,309.4,1525,37.8,54,0
"2579",2579,"L49758","L",299.4,309.3,1391,46.6,185,0
"2982",2982,"H32395","H",300.4,309.4,1530,40.4,112,0
"9874",9874,"L57053","L",298.9,309.8,1616,36.5,110,0
"3727",3727,"M18586","M",302.3,311.2,1505,36.7,78,0
"8575",8575,"L55754","L",297.6,308.3,1424,53.9,132,0
"3505",3505,"M18364","M",301.7,310.8,1524,41.3,147,0
"4830",4830,"L52009","L",303.4,311.9,1491,38.2,26,0
"4213",4213,"M19072","M",302,310.6,1392,60.5,10,0
"8356",8356,"L55535","L",298.7,309.6,1502,46.7,198,0
"3854",3854,"L51033","L",302.4,311,1486,40.4,192,0
"1972",1972,"L49151","L",297.9,307.6,1298,52.7,132,0
"5907",5907,"L53086","L",300.7,310.3,1533,35.6,198,0
"9539",9539,"L56718","L",299.3,310.6,1480,45.1,107,0
"1859",1859,"M16718","M",297.8,307.4,1488,36.1,57,0
"7210",7210,"L54389","L",299.8,309.7,1624,34.2,96,0
"5491",5491,"L52670","L",302.6,312.1,1288,68.5,0,1
"3371",3371,"L50550","L",301.4,310.7,1584,32.2,17,0
"3611",3611,"M18470","M",301.7,310.8,1594,32.4,204,0
"1594",1594,"L48773","L",298,308.3,1544,34.7,213,0
"2880",2880,"M17739","M",300.6,309.4,1367,63.2,45,1
"4727",4727,"M19586","M",303.4,311.8,2133,18.3,207,0
"5645",5645,"L52824","L",302.5,312,1383,51.3,190,0
"8166",8166,"L55345","L",299.6,311,1552,33.2,139,0
"2873",2873,"L50052","L",300.8,309.6,1680,28.7,22,0
"4096",4096,"H33509","H",302,310.5,1459,43.2,148,0
"1436",1436,"H30849","H",298.8,309.9,1526,42.1,30,0
"4825",4825,"L52004","L",303.4,311.8,1499,45,16,0
"4305",4305,"L51484","L",301.6,310.1,1694,26.3,14,0
"5292",5292,"L52471","L",303.8,313.3,1406,52.1,166,0
"5706",5706,"L52885","L",302.4,311.9,1452,43.1,137,0
"1117",1117,"L48296","L",296.4,307.3,1487,37.5,83,0
"4629",4629,"M19488","M",303,311.1,1597,36.7,191,0
"2890",2890,"M17749","M",300.7,309.7,1523,38.2,73,0
"8047",8047,"L55226","L",300.6,311.8,1471,41.4,39,0
"7468",7468,"H36881","H",300.3,311.6,1463,41.6,102,0
"2364",2364,"L49543","L",299.3,308.5,1510,45.4,72,0
"9054",9054,"M23913","M",297.4,308.5,1638,32.2,84,0
"7888",7888,"L55067","L",300.7,312.4,1590,37.9,98,0
"5740",5740,"M20599","M",302.2,311.7,1653,31.4,2,0
"1725",1725,"M16584","M",298.3,307.8,1457,52.5,98,0
"6957",6957,"M21816","M",300.8,311.2,1434,39.1,82,0
"2478",2478,"L49657","L",298.9,308.5,1387,57.3,154,0
"4069",4069,"L51248","L",301.9,310.7,1405,48.8,78,0
"5685",5685,"H35098","H",302.2,311.6,1594,36.8,82,0
"2598",2598,"L49777","L",299,308.7,1449,38.9,18,0
"422",422,"M15281","M",297.3,308.3,1657,31.1,8,0
"2035",2035,"M16894","M",298.8,308.5,1425,47.4,90,0
"6530",6530,"L53709","L",301.3,310.6,1481,40.9,57,0
"4849",4849,"H34262","H",303.5,312,1397,52.9,80,0
"3876",3876,"L51055","L",302.6,311.8,1427,50.1,21,0
"5315",5315,"L52494","L",303.6,312.8,1701,30.8,12,0
"3133",3133,"L50312","L",300.1,309.5,1557,40.6,59,0
"7751",7751,"L54930","L",300.4,311.7,1444,51.2,174,0
"9223",9223,"M24082","M",297.9,309,1525,38.5,113,0
"7351",7351,"L54530","L",299.7,310.2,1469,39.5,26,0
"5432",5432,"L52611","L",302.8,312.5,1462,43.4,68,0
"358",358,"L47537","L",297.6,308.4,1517,34.2,66,0
"5318",5318,"L52497","L",303.6,312.7,1637,32.9,19,0
"6401",6401,"L53580","L",300.1,309.7,1601,35.8,160,0
"416",416,"L47595","L",297.5,308.4,1511,42.8,209,0
"7497",7497,"L54676","L",300.2,311.8,1464,44.5,179,0
"6333",6333,"M21192","M",300.5,309.9,1994,19.8,189,0
"1542",1542,"L48721","L",298.4,309,2304,15.1,89,0
"3872",3872,"M18731","M",302.7,311.8,1728,30,12,0
"6061",6061,"L53240","L",301,311.1,1615,35.6,158,0
"1516",1516,"M16375","M",298.2,308.9,1614,35.5,15,0
"1915",1915,"L49094","L",298,307.7,1643,32.3,200,0
"5629",5629,"L52808","L",302.7,312.1,1688,32,155,0
"1261",1261,"L48440","L",297.6,309,1528,33.8,22,0
"365",365,"L47544","L",297.6,308.4,1407,55.2,86,0
"6800",6800,"M21659","M",301.1,310.7,2636,12.2,100,1
"8054",8054,"L55233","L",300.5,311.9,1887,21.7,56,0
"5777",5777,"L52956","L",301.6,311.1,1325,49.2,104,0
"6035",6035,"M20894","M",300.6,310.8,1389,48.1,88,0
"3307",3307,"L50486","L",301.4,310.5,1432,54.3,81,0
"3386",3386,"L50565","L",301.5,310.7,1466,43.6,56,0
"7187",7187,"M22046","M",300.4,310.5,1644,31.4,41,0
"3766",3766,"M18625","M",302.4,311.1,1443,51.8,178,0
"1661",1661,"L48840","L",298.2,308,1499,44.1,166,0
"1451",1451,"M16310","M",299,310.3,1447,39.9,78,0
"242",242,"L47421","L",298,308.1,1777,24.3,200,0
"7899",7899,"L55078","L",300.8,312.5,1423,47.3,123,0
"2615",2615,"L49794","L",299.3,309.1,1634,36.8,62,0
"4108",4108,"L51287","L",302,310.5,1809,27.1,175,0
"9694",9694,"L56873","L",298.9,310,1693,28.8,56,0
"9711",9711,"L56890","L",299.1,310.1,1336,61.3,94,0
"3506",3506,"L50685","L",301.6,310.8,1726,26.7,150,0
"9028",9028,"M23887","M",297.4,308.3,1444,44,18,0
"8911",8911,"L56090","L",297.1,308.4,1550,37,167,0
"8727",8727,"L55906","L",297.2,308.6,1562,33,84,0
"6504",6504,"M21363","M",300.9,309.9,1465,42.9,209,0
"3500",3500,"L50679","L",301.9,311,1353,43.8,130,0
"3231",3231,"L50410","L",300.6,309.4,1556,36,98,0
"5281",5281,"L52460","L",303.6,312.9,1480,41.4,135,0
"394",394,"M15253","M",297.5,308.4,1350,52.2,157,0
"190",190,"M15049","M",298.3,308.4,1539,43.4,69,0
"3056",3056,"L50235","L",300.1,309.2,1427,37.6,73,0
"842",842,"L48021","L",296.6,307.5,1439,45.5,199,0
"9551",9551,"M24410","M",299.5,311,1451,43.3,136,0
"9280",9280,"M24139","M",298.2,308.8,1645,28.2,58,0
"1978",1978,"M16837","M",298.1,307.7,1633,30.7,145,0
"9059",9059,"M23918","M",297.2,308.3,1326,57.2,100,0
"4590",4590,"L51769","L",302.8,311.1,1721,30,87,0
"8357",8357,"M23216","M",298.6,309.6,1344,59.4,200,0
"737",737,"L47916","L",296.9,308.3,1555,38.2,175,0
"8380",8380,"L55559","L",298.8,309.9,1629,31.9,49,0
"635",635,"L47814","L",298.3,309.9,1507,41.6,112,0
"244",244,"L47423","L",298,308.2,1442,44.1,204,0
"2188",2188,"M17047","M",299.8,309.4,1439,47.4,57,0
"8260",8260,"L55439","L",299.1,310.5,1471,38.4,146,0
"6850",6850,"L54029","L",301.1,311.3,1498,37.6,11,0
"5285",5285,"M20144","M",303.8,313.2,1732,29.6,147,0
"2144",2144,"M17003","M",299.3,308.8,1442,49,165,0
"376",376,"L47555","L",297.4,308.2,1533,37.4,115,0
"3458",3458,"M18317","M",301.5,310.4,2639,12,21,1
"7155",7155,"L54334","L",300.3,310.1,1483,39.9,174,0
"7514",7514,"L54693","L",300.4,311.8,2261,14.9,5,0
"3316",3316,"M18175","M",301.5,310.6,1492,43,100,0
"4766",4766,"L51945","L",303.7,312,1892,22.5,79,0
"674",674,"L47853","L",297.6,308.9,1449,47.7,209,0
"2582",2582,"L49761","L",299.2,309.1,1345,60.7,191,1
"1295",1295,"L48474","L",298.8,309.9,1486,40.3,126,0
"2387",2387,"L49566","L",299.1,308.4,1543,37.9,130,0
"1763",1763,"H31176","H",298.2,307.6,1460,48.6,204,0
"6450",6450,"L53629","L",300.6,310.2,1519,44.6,69,0
"9443",9443,"M24302","M",298.1,308.8,1394,47.9,70,0
"6",6,"M14865","M",298.1,308.6,1425,41.9,11,0
"263",263,"M15122","M",298.1,308.2,1736,26.8,27,0
"4920",4920,"L52099","L",303.3,312.2,1506,40,50,0
"1631",1631,"L48810","L",297.9,307.9,1412,44.5,85,0
"2884",2884,"L50063","L",300.6,309.5,1437,40,55,0
"6479",6479,"L53658","L",300.5,309.8,1663,29.1,145,1
"5256",5256,"M20115","M",303.5,313,1403,51.9,77,0
"6816",6816,"L53995","L",300.9,310.7,1427,44.1,141,0
"2922",2922,"L50101","L",300.8,309.8,1657,31.1,151,0
"6970",6970,"M21829","M",300.8,311.1,1583,32.1,116,0
"3850",3850,"L51029","L",302.3,311,1561,37.2,180,0
"5880",5880,"L53059","L",301.4,311,1701,28.4,127,0
"2256",2256,"L49435","L",299.1,308.3,1559,33.7,30,0
"800",800,"M15659","M",297,307.8,1579,34.1,94,0
"3706",3706,"M18565","M",302,311.3,1725,27.7,23,0
"429",429,"M15288","M",297.6,308.6,1595,36.9,25,0
"7846",7846,"L55025","L",300.2,311.8,1798,23.2,210,0
"498",498,"L47677","L",297.4,309,1505,39.2,209,0
"75",75,"L47254","L",298.9,309,1601,32.3,202,0
"5462",5462,"M20321","M",302.9,312.3,1339,52.1,145,0
"8518",8518,"M23377","M",298.3,309.6,1469,54.8,191,0
"8585",8585,"L55764","L",297.4,307.9,1390,47.7,156,0
"6535",6535,"L53714","L",301.3,310.6,1436,44.2,76,0
"9152",9152,"L56331","L",297.6,308.6,1553,40.5,135,0
"7545",7545,"L54724","L",300.2,311.4,1425,44.2,84,0
"6583",6583,"L53762","L",301.5,310.5,1528,35.7,198,0
"3773",3773,"L50952","L",302.4,311.1,1448,44.8,195,0
"8714",8714,"L55893","L",297.2,308.6,1917,24.1,54,0
"4874",4874,"M19733","M",303.7,312.4,1474,38.8,139,0
"339",339,"L47518","L",297.5,308.2,1563,38.2,15,0
"9437",9437,"L56616","L",298,308.6,1481,42.5,54,0
"6932",6932,"M21791","M",300.8,311.4,1521,39.9,15,0
"3569",3569,"L50748","L",301.8,310.6,1372,54.7,95,0
"8423",8423,"H37836","H",298.9,310.3,1243,63,163,0
"1091",1091,"L48270","L",296.9,307.7,1464,41.4,6,0
"2303",2303,"L49482","L",299.2,308.5,1515,39.8,141,0
"9616",9616,"M24475","M",299,310.2,1564,39.9,97,0
"777",777,"L47956","L",296.7,307.8,1468,39.2,35,0
"119",119,"M14978","M",298.8,308.6,1707,28.1,103,0
"9344",9344,"M24203","M",298.3,308.8,1391,50.4,13,0
"7613",7613,"M22472","M",300.5,311.4,1743,27.6,46,0
"1138",1138,"L48317","L",296.9,307.8,1653,29.7,137,0
"1664",1664,"M16523","M",298.1,307.9,1759,28.6,176,0
"7824",7824,"L55003","L",300,311.3,1484,53.2,158,0
"3257",3257,"L50436","L",301.1,309.8,1519,39.6,167,0
"2514",2514,"L49693","L",299,308.7,1583,32.5,25,0
"1958",1958,"H31371","H",297.9,307.7,1618,35.9,92,0
"6841",6841,"L54020","L",301.1,311.1,1799,21.7,206,0
"3088",3088,"M17947","M",300,309.1,1474,45.2,152,0
"8768",8768,"L55947","L",297.5,308.6,1380,53.5,192,0
"1376",1376,"M16235","M",298.8,310.3,1528,37.1,99,0
"2701",2701,"L49880","L",299.9,309.3,1473,40.4,59,0
"9365",9365,"L56544","L",297.9,308.5,1683,28.5,63,0
"2176",2176,"M17035","M",299.5,309.2,1590,35.9,22,0
"4698",4698,"M19557","M",303.5,311.6,1573,34,134,0
"4043",4043,"L51222","L",302,310.9,1564,39,15,0
"6439",6439,"L53618","L",300.4,310,1581,30.3,42,0
"2365",2365,"L49544","L",299.2,308.5,1366,49.7,74,0
"5075",5075,"L52254","L",304.1,313.1,1666,34.6,33,0
"6891",6891,"M21750","M",300.9,311.4,1532,41.5,126,0
"7802",7802,"L54981","L",300,311.4,1383,49.6,101,0
"9397",9397,"L56576","L",297.8,308.3,1498,47.3,160,0
"8078",8078,"L55257","L",300.3,311.8,1547,39.7,121,0
"4426",4426,"L51605","L",302.5,310.2,1547,36.9,103,0
"7100",7100,"M21959","M",300.7,310.2,1373,44.1,28,0
"6868",6868,"L54047","L",301,311.3,1342,50.9,60,0
"5452",5452,"L52631","L",303,312.7,1361,48.8,120,0
"3082",3082,"M17941","M",300,309.3,1932,21.8,135,0
"4690",4690,"M19549","M",303.4,311.5,1560,36.4,114,0
"776",776,"L47955","L",296.7,307.8,1453,46,33,0
"6920",6920,"L54099","L",301,311.5,1444,39.8,197,0
"4705",4705,"L51884","L",303.7,311.9,1561,33.3,153,0
"2700",2700,"L49879","L",299.9,309.4,1363,60.9,57,0
"7019",7019,"M21878","M",300.7,310.7,1377,46.7,36,0
"7857",7857,"L55036","L",300.4,311.8,1433,42.2,14,0
"7054",7054,"H36467","H",300.7,310.5,1567,38.7,129,0
"4457",4457,"L51636","L",302.3,310.1,1487,46,184,0
"3765",3765,"L50944","L",302.4,311,1329,54.6,176,0
"4963",4963,"M19822","M",304,312.7,1456,51.2,160,0
"4047",4047,"M18906","M",301.9,310.9,1421,46.2,26,0
"4182",4182,"M19041","M",302.4,310.7,1521,40.4,152,0
"338",338,"L47517","L",297.6,308.3,1742,27.7,13,0
"7455",7455,"L54634","L",300.2,311.6,1446,47.3,66,0
"7361",7361,"L54540","L",299.5,310.1,1585,35.2,50,0
"1567",1567,"M16426","M",298,308.1,1403,44.8,148,0
"7377",7377,"L54556","L",299.5,310,1481,43.1,90,0
"4433",4433,"L51612","L",302.4,310.2,1445,46.4,125,0
"5239",5239,"L52418","L",303.7,313,1457,44.1,40,0
"427",427,"L47606","L",297.4,308.5,1501,44.9,20,0
"2783",2783,"M17642","M",300.2,309.6,1491,41.8,41,0
"8141",8141,"L55320","L",299.6,310.9,1658,28,76,0
"96",96,"M14955","M",299,309,1351,52.2,44,0
"1847",1847,"H31260","H",297.7,307.3,1514,38.6,19,0
"9483",9483,"H38896","H",298.8,309.6,1309,57.4,185,0
"3238",3238,"M18097","M",300.9,309.5,1758,26.8,116,0
"6964",6964,"H36377","H",300.7,311,1981,19.9,99,0
"932",932,"L48111","L",295.5,305.9,1542,36.2,12,0
"8465",8465,"H37878","H",298.6,309.7,1672,27.5,54,0
"3027",3027,"M17886","M",300.4,309.5,1888,21.9,221,0
"4001",4001,"L51180","L",302.1,311.2,1422,50.3,146,0
"3867",3867,"L51046","L",302.6,311.6,1311,53.2,0,0
"8087",8087,"L55266","L",300.2,311.4,1463,37.5,145,0
"1273",1273,"H30686","H",298,309.4,1562,38.1,58,0
"5190",5190,"M20049","M",304.1,313.2,1427,46.9,123,0
"917",917,"M15776","M",295.3,305.8,1589,36.2,184,0
"6492",6492,"L53671","L",300.8,310,1468,52.7,178,0
"5036",5036,"M19895","M",304,313.2,1500,40.6,124,0
"671",671,"L47850","L",297.6,309,1822,25.4,202,0
"5948",5948,"M20807","M",300.7,310.8,1465,45.2,92,0
"8976",8976,"H38389","H",296.7,307.4,1661,34.2,109,0
"5307",5307,"H34720","H",304,313.2,1612,31.7,206,0
"4363",4363,"L51542","L",302.1,310.1,1447,46.6,169,0
"677",677,"H30090","H",297.9,309.2,1577,34.7,5,0
"9382",9382,"M24241","M",297.5,308.1,1480,42.4,112,0
"8226",8226,"L55405","L",299.1,310.5,1532,36.6,62,0
"6971",6971,"L54150","L",300.7,311,1436,44.9,119,0
"3888",3888,"L51067","L",302.4,311.2,1448,50.5,53,0
"7341",7341,"L54520","L",299.7,310.3,1386,46.6,2,0
"7881",7881,"H37294","H",300.7,312.4,1457,47.2,74,0
"880",880,"L48059","L",295.8,306.3,1337,54.6,87,0
"3542",3542,"L50721","L",301.8,310.8,1546,43.4,29,0
"6950",6950,"M21809","M",300.7,311.2,1769,26.5,63,0
"1544",1544,"L48723","L",298.4,308.9,1628,34.9,93,0
"5541",5541,"L52720","L",302.4,311.8,1493,38.4,132,0
"2159",2159,"M17018","M",299.5,309,1399,49.7,207,0
"4082",4082,"L51261","L",302,310.4,1336,58.2,110,1
"7188",7188,"L54367","L",300.4,310.5,1402,54.3,44,0
"9723",9723,"H39136","H",298.8,309.8,1911,21.6,126,0
"6215",6215,"L53394","L",300.9,310.7,1392,44.2,97,0
"9013",9013,"L56192","L",297.2,308,1705,26,200,0
"887",887,"L48066","L",295.7,306.2,1458,40.6,103,0
"4031",4031,"L51210","L",302,310.8,2143,17.3,227,0
"5467",5467,"M20326","M",302.9,312.3,1426,44.7,157,0
"5684",5684,"M20543","M",302.2,311.6,1592,37.7,79,0
"6353",6353,"L53532","L",300,309.6,1496,38.8,27,0
"4323",4323,"M19182","M",301.7,310.1,1431,44,61,0
"2101",2101,"M16960","M",299.3,309.3,1471,46,42,0
"8429",8429,"M23288","M",299,310.3,1827,28,178,0
"8818",8818,"H38231","H",297.3,308.6,1376,53.5,112,0
"7897",7897,"L55076","L",300.8,312.6,1376,53.6,119,0
"4611",4611,"L51790","L",303.1,311.2,1394,45.3,144,0
"1224",1224,"L48403","L",297,308.3,1492,48.1,137,0
"9119",9119,"L56298","L",297.6,308.6,1526,42.1,57,0
"3130",3130,"L50309","L",300.1,309.6,1642,34.5,53,0
"3781",3781,"L50960","L",302.4,311.1,1446,42.9,5,0
"6358",6358,"L53537","L",300.2,309.8,1398,54.8,39,0
"3873",3873,"L51052","L",302.7,311.9,1389,46.5,15,0
"9837",9837,"M24696","M",298.4,309.3,1390,53.6,5,0
"6286",6286,"M21145","M",301.2,310.7,1426,46.1,67,0
"4868",4868,"L52047","L",303.6,312.5,1345,54.1,126,0
